region,year,sex,age_gr,population
norway,2020,Both,20 to 29,708530
norway,2020,Both,30 to 39,734836
norway,2020,Both,40 to 49,721628
norway,2020,Both,50 to 59,708997
norway,2020,Both,60 to 69,585507
norway,2020,Both,70 to 79,443151
norway,2020,Both,80 to 89,187895
norway,2020,Both,90 to 99,45664
norway,2020,Both,Overall,5379479
norway,2020,Female,0 to 9,291508
norway,2020,Female,10 to 19,313472
norway,2020,Female,100 and over,0
norway,2020,Female,20 to 29,343704
norway,2020,Female,30 to 39,358456
norway,2020,Female,40 to 49,351177
norway,2020,Female,50 to 59,346182
norway,2020,Female,60 to 69,292022
norway,2020,Female,70 to 79,228624
norway,2020,Female,80 to 89,109446
norway,2020,Female,90 to 99,31976
norway,2020,Female,Overall,2666567
norway,2020,Male,0 to 9,307938
norway,2020,Male,10 to 19,330353
norway,2020,Male,100 and over,0
norway,2020,Male,20 to 29,364826
norway,2020,Male,30 to 39,376380
norway,2020,Male,40 to 49,370451
norway,2020,Male,50 to 59,362815
norway,2020,Male,60 to 69,293485
norway,2020,Male,70 to 79,214527
norway,2020,Male,80 to 89,78449
norway,2020,Male,90 to 99,13688
norway,2020,Male,Overall,2712912
norway,2021,Both,0 to 9,590624
norway,2021,Both,10 to 19,645639
norway,2021,Both,100 and over,0
norway,2021,Both,20 to 29,703446
norway,2021,Both,30 to 39,744124
norway,2021,Both,40 to 49,716912
norway,2021,Both,50 to 59,719511
norway,2021,Both,60 to 69,592319
norway,2021,Both,70 to 79,457399
norway,2021,Both,80 to 89,192022
norway,2021,Both,90 to 99,46329
norway,2021,Both,Overall,5408325
norway,2021,Female,0 to 9,287324
norway,2021,Female,10 to 19,314503
norway,2021,Female,100 and over,0
norway,2021,Female,20 to 29,340848
norway,2021,Female,30 to 39,363090
norway,2021,Female,40 to 49,349046
norway,2021,Female,50 to 59,351480
norway,2021,Female,60 to 69,295305
norway,2021,Female,70 to 79,235324
norway,2021,Female,80 to 89,110920
norway,2021,Female,90 to 99,32187
norway,2021,Female,Overall,2680027
norway,2021,Male,0 to 9,303300
norway,2021,Male,10 to 19,331136
norway,2021,Male,100 and over,0
norway,2021,Male,20 to 29,362598
