region,year,sex,age_gr,population
belgium,2022,Both,80 to 89,517932
belgium,2022,Both,90 to 99,123228
belgium,2022,Both,Overall,11584008
belgium,2022,Female,0 to 9,607598
belgium,2022,Female,10 to 19,649525
belgium,2022,Female,100 and over,2138
belgium,2022,Female,20 to 29,691935
belgium,2022,Female,30 to 39,756230
belgium,2022,Female,40 to 49,745598
belgium,2022,Female,50 to 59,785794
belgium,2022,Female,60 to 69,709320
belgium,2022,Female,70 to 79,526309
belgium,2022,Female,80 to 89,312885
belgium,2022,Female,90 to 99,87774
belgium,2022,Female,Overall,5875106
belgium,2022,Male,0 to 9,635147
belgium,2022,Male,10 to 19,681300
belgium,2022,Male,100 and over,423
belgium,2022,Male,20 to 29,706082
belgium,2022,Male,30 to 39,754036
belgium,2022,Male,40 to 49,755478
belgium,2022,Male,50 to 59,800207
belgium,2022,Male,60 to 69,681479
belgium,2022,Male,70 to 79,454249
belgium,2022,Male,80 to 89,205047
belgium,2022,Male,90 to 99,35454
belgium,2022,Male,Overall,5708902
belgium,2023,Both,0 to 9,1240172
belgium,2023,Both,10 to 19,1358845
belgium,2023,Both,100 and over,2733
belgium,2023,Both,20 to 29,1404025
belgium,2023,Both,30 to 39,1533931
belgium,2023,Both,40 to 49,1510095
belgium,2023,Both,50 to 59,1583282
belgium,2023,Both,60 to 69,1413090
belgium,2023,Both,70 to 79,1012409
belgium,2023,Both,80 to 89,512632
belgium,2023,Both,90 to 99,126343
belgium,2023,Both,Overall,11697557
belgium,2023,Female,0 to 9,606141
belgium,2023,Female,10 to 19,663639
belgium,2023,Female,100 and over,2285
belgium,2023,Female,20 to 29,696317
belgium,2023,Female,30 to 39,769603
belgium,2023,Female,40 to 49,752234
belgium,2023,Female,50 to 59,785435
belgium,2023,Female,60 to 69,720304
belgium,2023,Female,70 to 79,542763
belgium,2023,Female,80 to 89,308027
belgium,2023,Female,90 to 99,89399
belgium,2023,Female,Overall,5936147
belgium,2023,Male,0 to 9,634031
belgium,2023,Male,10 to 19,695206
belgium,2023,Male,100 and over,448
belgium,2023,Male,20 to 29,707708
belgium,2023,Male,30 to 39,764328
belgium,2023,Male,40 to 49,757861
belgium,2023,Male,50 to 59,797847
belgium,2023,Male,60 to 69,692786
belgium,2023,Male,70 to 79,469646
belgium,2023,Male,80 to 89,204605
belgium,2023,Male,90 to 99,36944
belgium,2023,Male,Overall,5761410
